stem,field,old,new,issue
05900058_CBI 1_1686155,county,,Harper,5
X_SAC & FOX INDIANS 11_1364544,section,18,15,6
X_SAC & FOX INDIANS 11_1364544,township,4,14N,6
X_SAC & FOX INDIANS 11_1364544,range,1,6E,6
04900636_T W BAKER 1_603485,quadrant,NE-NE-SE,NE-NE-NE,7
12307732_J E CRADDUCK 1_600459,range,1,6E,8
07124320_BEARD DILWORTH 20-2_50070283,township,1N,28N,9
08104887_No Data_1079928,township,15,15N,11
08104887_No Data_1079928,range,26,2E,11
10100664_S JEFFERSON 1_1360735,range,25,15,12
